method,dataset,provenance,seed,base_acc,inc_aa,final_inc,all_aa,auroc_aa,osr_f1_aa,source
YLOC-PAL-acoustic,FSC-89,paper-reimplementation,3426,0.5756521739130435,0.0,0.0,0.4855455482403996,0.3024,0.5157545605306799,artifacts/yloc/fsc89/seed3426/metrics.json
YLOC-PAL-acoustic,FSC-89,paper-reimplementation,3427,0.5756521739130435,0.0,0.0,0.4855455482403996,0.3024,0.5157545605306799,artifacts/yloc/fsc89/seed3427/metrics.json
YLOC-PAL-acoustic,FSC-89,paper-reimplementation,3428,0.5756521739130435,0.0,0.0,0.4855455482403996,0.3024,0.5157545605306799,artifacts/yloc/fsc89/seed3428/metrics.json
YLOC-PAL-acoustic,FSC-89,paper-reimplementation,3429,0.5756521739130435,0.0,0.0,0.4855455482403996,0.3024,0.5157545605306799,artifacts/yloc/fsc89/seed3429/metrics.json
YLOC-PAL-acoustic,LS-100,paper-reimplementation,3420,0.852875,0.558875,0.4265,0.8055000687994497,0.7996000000000001,0.7925487305806482,artifacts/yloc/ls100/seed3420/metrics.json
YLOC-PAL-acoustic,LS-100,paper-reimplementation,3421,0.852875,0.5640833333333333,0.416,0.806127528379773,0.7996000000000001,0.7925487305806482,artifacts/yloc/ls100/seed3421/metrics.json
YLOC-PAL-acoustic,LS-100,paper-reimplementation,3422,0.852875,0.507375,0.3795,0.79806217750258,0.7992,0.7925487305806482,artifacts/yloc/ls100/seed3422/metrics.json
YLOC-PAL-acoustic,LS-100,paper-reimplementation,3423,0.852875,0.5067083333333333,0.3785,0.7979830839353286,0.7999999999999999,0.7925487305806482,artifacts/yloc/ls100/seed3423/metrics.json
YLOC-PAL-acoustic,LS-100,paper-reimplementation,3424,0.852875,0.506625,0.3775,0.797909864121087,0.8004,0.7925487305806482,artifacts/yloc/ls100/seed3424/metrics.json
YLOC-PAL-acoustic,LS-100,paper-reimplementation,3425,0.852875,0.5175416666666667,0.3885,0.7995399552803577,0.8008,0.7925487305806482,artifacts/yloc/ls100/seed3425/metrics.json
YLOC-PAL-acoustic,LS-100,paper-reimplementation,3426,0.852875,0.5174166666666666,0.388,0.7995149552803578,0.7988,0.7925487305806482,artifacts/yloc/ls100/seed3426/metrics.json
