method,dataset,repeat,session,auroc,aupr,fpr95,cluster_acc,nmi,ari,source_log
FOWAC-DS,LS-100,5,3,0.872,0.9264,0.8,0.3548,0.7122,0.4454,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,5,4,0.9296,0.9212,0.2,0.4286,0.8394,0.6437,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,6,1,1.0,1.0,0.0,0.9565,0.9292,0.8727,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,6,2,1.0,1.0,0.0,0.8261,0.8163,0.6638,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,6,3,0.8992,0.9441,0.88,0.7727,0.7381,0.533,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,6,4,1.0,1.0,0.0,0.96,0.9352,0.8929,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,7,1,1.0,1.0,0.0,0.96,0.9352,0.8929,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,7,2,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,7,3,0.856,0.9129,0.68,0.52,0.8661,0.6771,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,7,4,0.9088,0.9036,0.2,0.6333,0.8791,0.7219,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,8,1,1.0,1.0,0.0,0.9583,0.9323,0.8836,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,8,2,1.0,1.0,0.0,0.6667,0.9311,0.7943,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,8,3,0.8016,0.8761,0.92,0.3226,0.8567,0.6189,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,8,4,1.0,1.0,0.0,0.92,0.8727,0.8008,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,9,1,1.0,1.0,0.0,0.8696,0.8874,0.757,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,9,2,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,9,3,0.816,0.9,0.96,0.56,0.8217,0.6596,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,9,4,0.9136,0.8655,0.12,0.2703,0.7952,0.5105,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-BCD,FSC-89,0,1,0.9824,0.9854,0.2,0.7273,0.598,0.3611,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,0,2,0.6048,0.5355,0.72,0.1622,0.4911,0.21,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,0,3,0.9264,0.9294,0.16,0.2903,0.6062,0.3398,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,0,4,0.4576,0.5531,1.0,0.0667,0.6765,0.4895,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,1,1,1.0,1.0,0.0,0.5833,0.5157,0.2435,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,1,2,0.7088,0.6298,0.48,0.3243,0.6484,0.4076,logs/raw_v2_bcd_fsc89_10runs.log
